"V1" "V2" "V3" "V4" "V5"
"1" 0.000121054247284898 0.000235572431585945 -4.38917238584184e-07 -8.46205745140522e-05 2.04460526315789
"2" 6.95661215445397e-05 7.89587050365644e-05 -1.07207755878452e-05 -1.02967430236986e-05 1.88618421052632
"3" -0.000250287113971976 -2.60711170250893e-05 -3.66140827207465e-05 -6.11864230777721e-06 1.04479452054794
"4" 0.00011306763984128 0.000183026965754672 -1.07413264399953e-06 -5.99013198629032e-05 2.42407894736842
"5" 8.70689807575922e-05 0.000120234344877347 -8.4711234933726e-06 -2.63172406135226e-05 2.26052631578947
"6" -0.000107397365709443 -3.52901882167023e-05 3.30614491823378e-05 5.49546039879695e-06 1.21447368421053
"7" 1.96184127470705e-05 6.79079789471382e-05 -1.41433834073731e-05 1.28512989834556e-05 1.89545454545455
"8" 6.69296403790366e-05 3.13933150309554e-05 -3.49687720352265e-06 -8.0764201736344e-06 1.72987012987013
"9" -8.47370255587267e-05 1.8027500027177e-05 -8.18273143860359e-06 3.17147204197541e-05 1.69573333333333
"10" -4.92492855920791e-05 -4.7960009864497e-05 5.47793488008523e-05 -1.44965837064675e-05 1.19571428571429
"11" -0.000164328992180446 -1.6838752870553e-05 -3.52420572075867e-08 1.19947583301697e-05 1.09445945945946
"12" -0.000223704071530591 -7.52523124445832e-05 9.06784537456782e-05 -1.81279194294793e-05 1.19657534246575
"13" 3.91768760546796e-05 4.41903555339689e-05 -9.00896659880266e-06 2.98986881267012e-06 2.07116883116883
"14" -0.000185156425157879 -4.1248320638325e-05 3.53497782915619e-05 9.65172956406817e-07 1.09216216216216
